scenario_id,split,information,action,path,flags,instruction_features,constraint_features,numeric_mentions,instruction
NLEB-EX-CO-040,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-040.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,0.0s;3.0s;3.0s;4.0s;1;0.5s,"Create a video track 'composite', add a clip from bin_media at 0.0s for 3.0s, and add another clip from bin_media at 3.0s for 4.0s on it. Link the first new clip with ac_1, add a cross-dissolve transition between the two new clips with duration 0.5s, and add a blur effect to the second new clip."
NLEB-EX-CU-001,dev,explicit,cumulative,feasible/explicit/cumulative/dev/NLEB-EX-CU-001.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,duration;preservation,0s;3 seconds;32;0s,Add a caption 'Intro' at timeline 0s with duration 3 seconds. Change the caption text to 'Introduction' and set font size to 32. Keep it at 0s.
NLEB-EX-CU-003,dev,explicit,cumulative,feasible/explicit/cumulative/dev/NLEB-EX-CU-003.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,2;3;1.5x,Split video_clip_2 at the 3-second mark. Set the first half's speed to 1.5x. Keep the split intact. Add a saturation effect to the second half. Preserve the speed change.
NLEB-EX-CU-004,dev,explicit,cumulative,feasible/explicit/cumulative/dev/NLEB-EX-CU-004.yaml,time_mention_without_time_constraint,numeric;time,preservation,1;0s,Create a new video track above the existing ones. Add a clip from av_media_1 on the new track at 0s. Keep the track.
NLEB-EX-CU-010,dev,explicit,cumulative,feasible/explicit/cumulative/dev/NLEB-EX-CU-010.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,duration;preservation,5s;3 seconds;48;2;0.5x,Add a caption 'Breaking' at 5s with duration 3 seconds. Set the caption's font size to 48 for emphasis. Keep the caption. Slow video_clip_2 to 0.5x to match the dramatic moment. Preserve everything.
NLEB-EX-CU-011,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-011.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,0s,Add a caption 'Scene 1' at 0s. Set its color to yellow. Keep the text.
NLEB-EX-CU-018,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-018.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,preservation,1,Remove caption_1. Add a new caption 'Updated Title' at the same position. Keep the removal.
NLEB-EX-CU-020,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-020.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,3;4 seconds,Split video_clip_3 at 4 seconds. Add a contrast effect to the first half. Preserve the split.
NLEB-EX-CU-021,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-021.yaml,time_mention_without_time_constraint;spatial_position_without_position_constraint,numeric;spatial_position;time,preservation,0s;0.25,Import 'logo.png' as media. Add it as a clip at 0s on the top video track. Scale it to 0.25 for a watermark. Keep the import and placement.
NLEB-EX-CU-022,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-022.yaml,time_mention_without_time_constraint,numeric;time,,2;2s,Create a new video track. Add a clip from av_media_2 on the new track at 2s. Keep the track. Apply a blur effect to the new clip. Preserve everything.
NLEB-EX-CU-023,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-023.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,30s;48,Add a caption 'Chapter 2' at 30s. Set font size to 48 and color to white. Apply a fade-in effect to the caption. Preserve all changes.
NLEB-EX-CU-027,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-027.yaml,split_position_without_position_constraint,numeric;split_position,preservation,3,Split video_clip_3 at the midpoint. Add a cross-dissolve transition between the two halves. Keep the split.
NLEB-EX-CU-031,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-031.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,preservation,3;3;3;3,Unlink video_clip_3 from audio_clip_3. Remove video_clip_3. Keep the unlink intact. Add a caption 'Cut here' at the position where video_clip_3 was. Preserve prior.
NLEB-EX-CU-032,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-032.yaml,time_mention_without_time_constraint,numeric;time,preservation,0s;1,Import 'narration.wav' as media. Add it as an audio clip at 0s. Link the new audio with video_clip_1. Keep all prior.
NLEB-EX-CU-036,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-036.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,15s;2;1.5x;1;2,Add a caption 'Act II' at 15s. Apply a fade-in effect to the caption. Keep the caption. Speed video_clip_2 to 1.5x. Preserve the caption and effect. Add a cross-dissolve between video_clip_1 and video_clip_2. Preserve everything.
NLEB-EX-CU-038,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-038.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,1;3 seconds;0.75x,Split video_clip_1 at 3 seconds. Add a blur effect to the second half. Keep the split. Add a cross-dissolve transition between the two halves. Preserve the effect. Slow the second half to 0.75x. Preserve everything.
NLEB-EX-CU-039,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-039.yaml,time_mention_without_time_constraint,numeric;time,preservation,10s;3,Create a new audio track named 'SFX'. Import 'explosion.wav' as media. Keep the track. Add the imported audio as a clip at 10s on the SFX track. Preserve all. Link the SFX clip with video_clip_3. Keep everything intact.
NLEB-EX-CU-040,test,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-040.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,2;2;2;3 seconds;2,Unlink vc_2 from ac_2. Split vc_2 at 3 seconds. Keep the unlink. Remove the first half. Preserve the split's second piece. Add a saturation effect to the remaining half and re-link it with ac_2. Preserve all.
NLEB-EX-DE-002,dev,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-002.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2;3;0.5x,Split video_clip_2 at the 3-second mark and slow the second half to 0.5x.
NLEB-EX-DE-005,dev,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-005.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s;48,Add a caption saying 'Chapter 1' at timeline 0s. Change its font size to 48 and color to white.
NLEB-EX-DE-009,dev,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-009.yaml,time_mention_without_time_constraint,duration;numeric;time,duration;preservation,2;5s;1;2;2;1 second,Add a new audio clip from av_media_2 starting at 5s on audio track 1. Link the new audio clip with video_clip_2. Extend video_clip_2 by 1 second so it covers the full audio.
NLEB-EX-DE-010,dev,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-010.yaml,split_position_without_position_constraint,numeric;split_position,,3,Split video_clip_3 at the midpoint. Add a saturation effect to the second half. Insert a cross-dissolve transition between the two halves.
NLEB-EX-DE-011,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-011.yaml,time_mention_without_time_constraint,numeric;time,,0s;1,Import 'overlay.png' as media and add it as a clip at 0s on video track 1.
NLEB-EX-DE-012,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-012.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,1;2,Split video_clip_1 at the 2-second mark and delete the first half.
NLEB-EX-DE-013,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-013.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,10s;48,Add a caption 'Breaking News' at 10s and set its font size to 48 with a red color for emphasis.
NLEB-EX-DE-015,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-015.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,5s,Create a new caption track and place a subtitle 'Scene 2' on it at 5s.
NLEB-EX-DE-019,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-019.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,,1,Remove caption_1 and add a replacement caption 'Revised Title' at the same position.
NLEB-EX-DE-021,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-021.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2;4 seconds;1.5x;0.75x,Split video_clip_2 at 4 seconds. Speed up the first half to 1.5x and slow the second half to 0.75x.
NLEB-EX-DE-022,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-022.yaml,time_mention_without_time_constraint,numeric;time,,0s;0.3,Import 'logo.png' as new media. Add it as a clip at 0s and scale it to 0.3 for a watermark.
NLEB-EX-DE-023,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-023.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s;36,"Add a caption 'Interview' at 0s. Set its font to bold, size 36, then apply a fade-in effect to it."
NLEB-EX-DE-032,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-032.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,5;3,Split video_clip_5 at the 3-second mark. Add a cross-dissolve transition between the two resulting halves.
NLEB-EX-DE-033,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-033.yaml,time_mention_without_time_constraint,numeric;time,,3;1;0.6,Add a 3-second clip from av_media_1 at the start of the timeline. Apply a blur effect to it and set its opacity to 0.6 as a background.
NLEB-EX-DE-038,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-038.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,1;1;1;3 seconds;1,Unlink video_clip_1 from audio_clip_1. Split video_clip_1 at 3 seconds and delete the first half. Re-link the remaining half with audio_clip_1.
NLEB-EX-DE-039,test,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-039.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,1;0s,Create a new video track. Add a title card clip from av_media_1 on it at 0s. Add a caption 'Episode 1' over the title card and link them.
NLEB-ST-AT-003,dev,state,atomic,feasible/state/atomic/dev/NLEB-ST-AT-003.yaml,split_position_without_position_constraint,split_position,preservation,,Split the longest video clip on the timeline at its midpoint.
NLEB-ST-AT-009,dev,state,atomic,feasible/state/atomic/dev/NLEB-ST-AT-009.yaml,split_position_without_position_constraint,caption_or_title;numeric;split_position,,3 dB,Split the longest video clip on V1 at its midpoint. Remove the shorter caption from the timeline. Lower the BGM volume by 3 dB.
NLEB-ST-AT-013,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-013.yaml,duration_mention_without_duration_constraint,duration,preservation,,Add a blur effect to the last video clip on the main video track.
NLEB-ST-AT-014,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-014.yaml,split_position_without_position_constraint,numeric;split_position,,1,Split the shortest audio clip on track 1 at its midpoint.
NLEB-ST-AT-015,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-015.yaml,duration_mention_without_duration_constraint,duration,,,Remove the video clip that starts last on the timeline.
NLEB-ST-AT-020,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-020.yaml,time_mention_without_time_constraint,time,,,Unlink the video clip and audio clip that are linked together at the start of the timeline.
NLEB-ST-AT-027,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-027.yaml,split_position_without_position_constraint,numeric;split_position,,3;1,Set the longest video's rotation to 3 degrees. Split the shortest audio clip on track 1 at its midpoint.
NLEB-ST-AT-029,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-029.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;time,,,Add a caption 'Highlight' at the start time of the longest video clip. Mute the background music audio clip.
NLEB-ST-AT-031,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-031.yaml,time_mention_without_time_constraint,duration;numeric;time,duration,2 seconds;4 dB,Set the duration of the transition closest to the start of the timeline to 2 seconds. Lower the volume of the second audio clip by 4 dB.
NLEB-ST-AT-033,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-033.yaml,time_mention_without_time_constraint,numeric;time,,0.8x,Unlink the video and audio clips that are linked at the end of the timeline. Set the longest video clip's speed to 0.8x.
NLEB-ST-AT-035,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-035.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;3 dB,Remove the transition nearest the end of the timeline. Add a 2-second black clip after the last video clip on V1. Lower the second audio clip's volume by 3 dB.
NLEB-ST-AT-036,test,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-036.yaml,spatial_position_without_position_constraint,caption_or_title;spatial_position,,,Import a media file called 'outro.mp4' into the bin. Add a caption 'Credits' at the timeline position where the longest V1 clip ends. Remove the shortest caption currently on the timeline.
NLEB-ST-CO-002,dev,state,compound,feasible/state/compound/dev/NLEB-ST-CO-002.yaml,split_position_without_position_constraint,split_position,,,Split the shortest video clip at its midpoint and add a blur effect to the first half.
NLEB-ST-CO-010,dev,state,compound,feasible/state/compound/dev/NLEB-ST-CO-010.yaml,duration_mention_without_duration_constraint,duration,preservation,,"On the last clip on the timeline, remove any existing blur effect and add a brightness effect instead."
NLEB-ST-CO-012,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-012.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,10,Split the longest audio clip at the 10-second mark and mute the second half.
NLEB-ST-CO-023,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-023.yaml,split_position_without_position_constraint,split_position,,,Split the longest video at its midpoint and add a fade-out to the first half. Add a cross-dissolve transition between the two resulting halves.
NLEB-ST-CO-024,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-024.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,,0.9x;0.85,Remove the shortest caption and add a new caption 'Updated' at the same position. Set the longest V1 clip's speed to 0.9x and opacity to 0.85.
NLEB-ST-CO-025,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-025.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation;spatial_position,20;-10,"On the first video on the timeline, set x to 20 and add a contrast effect. On the last video, set y to -10 and add a brightness effect."
NLEB-ST-CO-034,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-034.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,,2 seconds;2 seconds,Add a caption 'Intro' at the start of the first video clip and set it to 2 seconds long. Add a caption 'Outro' at the start of the last video clip and set it to 2 seconds long.
NLEB-ST-CO-036,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-036.yaml,split_position_without_position_constraint,caption_or_title;numeric;split_position,,-5 dB,"Split the longest video at its midpoint and add transitions between the halves. On the BGM, set volume to -5 dB and add a fade-in effect. Add a caption 'Part 1' over the first half and 'Part 2' over the second half."
NLEB-ST-CO-037,test,state,compound,feasible/state/compound/test/NLEB-ST-CO-037.yaml,duration_mention_without_duration_constraint,duration;numeric,,0.95;0.95;1.3,"On the first V1 clip, add a fade-in and set opacity 0.95. On the last V1 clip, add a fade-out and set opacity 0.95. Remove the longer V2 clip and update the remaining V2 clip's scale to 1.3."
NLEB-ST-CU-003,dev,state,cumulative,feasible/state/cumulative/dev/NLEB-ST-CU-003.yaml,split_position_without_position_constraint,numeric;split_position,preservation,1;1.5x,"On timeline 1, mute the audio clip that starts earliest. Now increase the playback speed of the video clip that ends latest to 1.5x. Preserve the mute. Split the longest video clip at its midpoint, keeping the earlier two changes intact. Finally, add a fade-in to the first half of the split. Don't undo anything from before."
NLEB-ST-CU-006,dev,state,cumulative,feasible/state/cumulative/dev/NLEB-ST-CU-006.yaml,duration_mention_without_duration_constraint,duration,,,Link the first video clip with the audio clip that plays at the same time. Then add a blur effect to the last video clip on V1. Also mute the audio clip that starts at the same time as the first video clip.
NLEB-ST-CU-011,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-011.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,3 dB,Add a contrast effect to the last video clip on V1. Boost the volume of the audio that plays at the same time by 3 dB.
NLEB-ST-CU-014,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-014.yaml,split_position_without_position_constraint,split_position,,,Split the longest video clip at its midpoint. Then add a blur effect to the first half.
NLEB-ST-CU-015,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-015.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,0.85,Find the video clip with the longest duration and add a fade-out effect. Also set its opacity to 0.85.
NLEB-ST-CU-017,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-017.yaml,duration_mention_without_duration_constraint,duration,preservation,,Remove the last video clip on the timeline. Also unlink the first video and audio pair. Keep the removal.
NLEB-ST-CU-018,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-018.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,0.6,Set the opacity of the video clip that starts last on V1 to 0.6. Also mute the audio clip that overlaps with it.
NLEB-ST-CU-020,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-020.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,,1.25x,Speed up the longest video clip to 1.25x. Now mute the audio that plays while it plays. Then add a caption 'Highlight' at the timeline position where it starts.
NLEB-ST-CU-023,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-023.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,-10 dB,Mute the audio clip with the longest duration. Then reduce the volume of the second-longest audio clip to -10 dB.
NLEB-ST-CU-026,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-026.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,-3 dB;1;5,Longest audio: -3 dB. First audio on track 1: add a fade-in effect. Last video on V1: rotate 5 degrees. Keep earlier changes.
NLEB-ST-CU-031,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-031.yaml,duration_mention_without_duration_constraint,duration;numeric,,2 seconds,Set the first transition's duration to 2 seconds. Now remove it and add a fade-out effect to the clip before it instead. Keep any prior state.
NLEB-ST-CU-035,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-035.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1;0.85;0 dB;5,"On timeline 1, find the video clip with the longest duration and scale it to 0.85. Now set the quietest audio clip's volume to 0 dB. Rotate the scaled clip by 5 degrees. Preserve everything. Finally add a saturation effect to the earliest-starting video clip."
NLEB-ST-CU-039,test,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-039.yaml,spatial_position_without_position_constraint,caption_or_title;numeric;spatial_position,preservation,1;0.8,"On timeline 1, find the video clip that starts earliest and reduce its opacity to 0.8. Next, find the video clip that starts latest and mute the audio that plays with it. Now add a caption 'End' at the position of the latest-starting clip. Preserve earlier changes."
NLEB-ST-DE-003,dev,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-003.yaml,split_position_without_position_constraint,split_position,,,Split the longest clip on V1 at its midpoint. Add a cross-dissolve transition between the two resulting halves.
NLEB-ST-DE-005,dev,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-005.yaml,time_mention_without_time_constraint,time,,,"Mute the longest audio clip (the BGM). Raise the volume of the longest V1 clip's audio by 4 dB to compensate, and add a caption 'No BGM' at its start."
NLEB-ST-DE-017,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-017.yaml,time_mention_without_time_constraint,time,,,Remove the transition closest to the end of the timeline and add a fade-out effect to the clip before it.
NLEB-ST-DE-022,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-022.yaml,split_position_without_position_constraint,caption_or_title;split_position,,,Split the longest V1 clip at its midpoint. Add a caption 'Part 2' over the second half of the split.
NLEB-ST-DE-025,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-025.yaml,duration_mention_without_duration_constraint,duration,preservation,,Add a fade-in to the first V1 clip. And a fade-out to the last V1 clip so the sequence has clean bookends.
NLEB-ST-DE-029,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-029.yaml,duration_mention_without_duration_constraint,caption_or_title;duration,,,Remove the last video clip on the timeline. Update the caption 'End' to match the new last clip's end time.
NLEB-ST-DE-030,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-030.yaml,duration_mention_without_duration_constraint,duration;numeric,time,1,Remove the transition between the intro and second clip on V1. Add a 1-second gap between those clips by shifting the later one forward.
NLEB-ST-DE-031,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-031.yaml,duration_mention_without_duration_constraint,duration;numeric,time,1;1.5x;1,"On timeline 1, speed up the middle V1 clip to 1.5x. Then shift the last audio clip on timeline 1 earlier to match the new timing."
NLEB-ST-DE-039,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-039.yaml,split_position_without_position_constraint,split_position,,,Split the longest V1 clip at its midpoint. Remove the second half since it has poor footage. Add a fade-out to the remaining first half.
NLEB-ST-DE-040,test,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-040.yaml,duration_mention_without_duration_constraint,duration;numeric,time,1;2x;1;1,"On timeline 1, speed up the middle V1 clip to 2x. Shift the clip after it on timeline 1 earlier to close the gap. Also shift the last audio clip on timeline 1 earlier by the saved time."
