row_id,model,provider,track,timestamp,total_runs,successful_runs,sr,aggregate_csv,included_summary_artifact,included_per_scenario_artifact,source_summary_relpath,source_results_relpath,source_summary_sha256,source_results_sha256,valid_jsonl_rows,redacted_rows_written,redacted_successful_runs,malformed_jsonl_lines,recompute_status,excluded_from_recompute,exclusion_reason,per_call_logs_included,full_tool_args_included,full_agent_responses_included,full_states_included,notes
38,claude-sonnet-4-6,anthropic,open,2026-04-20T22:20:16.135477,800,315,0.3937,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-28-25_claude-sonnet-4-6/summary.json,2026-04-20_21-28-25_claude-sonnet-4-6/results.jsonl,be52f5d61f980e2ec86e7387b88dc92797a3e9244a25fb4f7aa81c4b12819b1e,1bf45df46c167ade8bd97250fd54dc1d5b4a13600172e044bfbcf7a2675282fb,800,800,315,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
39,meta-llama/Llama-3.1-8B-Instruct,vllm,canonical,2026-04-19T04:54:23.208894,2400,510,0.2125,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_04-39-30_meta-llama_Llama-3.1-8B-Instruct/summary.json,2026-04-19_04-39-30_meta-llama_Llama-3.1-8B-Instruct/results.jsonl,5ebd43ddb7d0fe53efb8d64ade0df835b0deef12fc9badc05dee0f096a8196ac,9819f8307999dc90bc5028832d0849f2a709150b518e3be6799b18f791a0e3b2,2400,2400,510,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
40,gpt-5.4,openai,open,2026-04-20T21:29:02.610984,800,305,0.3812,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_20-51-10_gpt-5.4/summary.json,2026-04-20_20-51-10_gpt-5.4/results.jsonl,9a2a3849085bdbe97349fb92b842c70432dad82057251f977a6a7249c6d2165d,789bddff75df51ec4470313a35f7bbd421e8712f92ce3d88040a83c7dd2ee13b,800,800,305,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
41,google/gemma-4-26B-A4B-it,vllm,canonical,2026-04-19T10:37:20.878868,2400,468,0.195,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_10-21-49_google_gemma-4-26B-A4B-it/summary.json,2026-04-19_10-21-49_google_gemma-4-26B-A4B-it/results.jsonl,cd842b62d9642854b1da9609ae2f5b6df49e8d9f70850602e06f1057e1532099,7844e19dc1608f2abef7e8daef46d44787c23be43e6a8c8999c21a0252c84262,2400,2400,468,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
42,Qwen/Qwen3-0.6B,vllm,canonical,2026-04-18T22:20:34.765317,2400,450,0.1875,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_22-07-45_Qwen_Qwen3-0.6B/summary.json,2026-04-18_22-07-45_Qwen_Qwen3-0.6B/results.jsonl,afa6a65b747e1adc64f869cc1ac1e54138ebaf3f336c8d932c11b10b7802f30f,a30cbbb23f0b25a3a08cf9ca4a629dfe9edcb5fb27953486d1151b58f07a0965,2400,2400,450,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
43,google/gemma-2-27b-it,vllm,canonical,2026-04-20T22:16:07.317035,2400,461,0.1921,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-46-39_google_gemma-2-27b-it/summary.json,2026-04-20_21-46-39_google_gemma-2-27b-it/results.jsonl,0cc4027c15819dc7b78c5e7794820409c1f245246d9e00a8190da6c2f205aa5e,420ac62beb0902b773a787f2be00a27128ee2d6b41f8d430aa1543c7249cc12b,2400,2400,461,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
44,meta-llama/Llama-3.2-3B-Instruct,vllm,canonical,2026-04-18T23:49:05.745383,2400,451,0.1879,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-43-16_meta-llama_Llama-3.2-3B-Instruct/summary.json,2026-04-18_23-43-16_meta-llama_Llama-3.2-3B-Instruct/results.jsonl,1b36a1f68be0b538d3f318c60d5244b9fdda74c046381fcbd9a0d02280d908e3,88a976657fdc0b937895ca619f5bfaf375789fd539497dd0d6593ea13404b937,2400,2400,451,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
45,Qwen/Qwen3.5-0.8B,vllm,canonical,2026-04-24T08:52:24.501079,2400,431,0.1796,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_08-43-40_Qwen_Qwen3.5-0.8B/summary.json,2026-04-24_08-43-40_Qwen_Qwen3.5-0.8B/results.jsonl,0a5ee1f3c1b82e9a4cf91aa83e0883f0b63380d51a3b7d0749dad9c05e3289e1,4a613f44bc2705c21824e7c2077454fe7081c594f1c30d36fb015897b7a3d3fd,2400,2400,431,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
46,tiiuae/Falcon3-3B-Instruct,vllm,canonical,2026-04-18T23:55:21.590305,2400,391,0.1629,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-50-49_tiiuae_Falcon3-3B-Instruct/summary.json,2026-04-18_23-50-49_tiiuae_Falcon3-3B-Instruct/results.jsonl,3348f6031ac2fb8befa326cfcc42d379e49abe3cc4535139af3293f5ba0eca35,5f9fb6e43437a8c62d256b714fe7d4ee772e35e032ddca0a3c9b2c94808784ad,2400,2400,391,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
47,google/gemma-2-9b-it,vllm,canonical,2026-04-20T21:41:32.767464,2400,360,0.15,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-35-58_google_gemma-2-9b-it/summary.json,2026-04-20_21-35-58_google_gemma-2-9b-it/results.jsonl,f42141a13bdcf4063d1e92251888318be04b11791061b771c4206144fc04f1a7,759c8089f517ab14f9c1930affda8b840dedecebbefa83e6a6df9ee0740eed3d,2400,2400,360,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
48,claude-haiku-4-5-20251001,anthropic,canonical,2026-04-20T21:24:19.885260,800,117,0.1462,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-20-52_claude-haiku-4-5-20251001/summary.json,2026-04-20_21-20-52_claude-haiku-4-5-20251001/results.jsonl,c23e24977202da40bc57b3caae97f97c52f148f0a2b0458da3dd6dd824b8ce21,569c73a281973d32b3900a330880131eb7e7370a7dd1655367023cc56cb6b0d1,800,800,117,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
49,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,vllm,canonical,2026-04-19T04:37:38.224877,2400,327,0.1363,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_04-08-23_deepseek-ai_DeepSeek-R1-Distill-Llama-8B/summary.json,2026-04-19_04-08-23_deepseek-ai_DeepSeek-R1-Distill-Llama-8B/results.jsonl,5d95994253c98a53b273c276889dfc2148d23669fdd38ff6b5d1070ffc0b9b05,3c9d2aa65268939bf6117a565331315bb4a8fa704ccd27b492c4db498a3bc355,2400,2400,327,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
50,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,vllm,canonical,2026-04-19T02:28:14.252921,2400,331,0.1379,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_01-55-26_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/summary.json,2026-04-19_01-55-26_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/results.jsonl,a68e6f778d761b189cb910339af77f71dc4b476e1fe045927e5370cb255e6585,8eb9dba9af570805d35db0c4d0b0a3210d3c67bfeb8d03fbdf63dab7f5c01696,2400,2400,331,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
51,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,vllm,canonical,2026-04-18T23:08:15.349238,2400,260,0.1083,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-00-40_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/summary.json,2026-04-18_23-00-40_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/results.jsonl,b98b1fd296fc85d342f899d8689222a67161c7d469ff40552284f90b935eebc7,7bbf7a10faed901672cfdb9319fb9296d0cb5b4bf687b3739d6d9f6e7079d1cd,2400,2400,260,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
52,mistralai/Mistral-Small-3.2-24B-Instruct-2506,vllm,canonical,2026-04-19T10:19:06.720373,2400,253,0.1054,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_09-56-56_mistralai_Mistral-Small-3.2-24B-Instruct-2506/summary.json,2026-04-19_09-56-56_mistralai_Mistral-Small-3.2-24B-Instruct-2506/results.jsonl,7aa387aeddc77fd6124898e097bee70d3d397304a8da54e8069d6225171f25c7,5b8eacd3b5893d856af4798cc052a5e617e46d9f60651fff2a2eee0f920cfa37,2400,2400,253,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
53,mistralai/Mistral-Small-24B-Instruct-2501,vllm,canonical,2026-04-19T09:54:49.750836,2400,209,0.0871,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_09-25-02_mistralai_Mistral-Small-24B-Instruct-2501/summary.json,2026-04-19_09-25-02_mistralai_Mistral-Small-24B-Instruct-2501/results.jsonl,afb5f1c278b29ba31dc23da8392e125007adc32c08d953f3f5ee2c44c9cb0157,2196f9bb3bb1e60e4fcc2c6154354e839dabccce6d180bced4c1c12db1169f55,2400,2400,209,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
54,meta-llama/Llama-3.2-1B-Instruct,vllm,canonical,2026-04-18T22:43:55.117429,2400,138,0.0575,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_22-29-57_meta-llama_Llama-3.2-1B-Instruct/summary.json,2026-04-18_22-29-57_meta-llama_Llama-3.2-1B-Instruct/results.jsonl,35995bedf579e29f4fc9e16d55499878f30d13e41ca3b02455560d519cf39bee,700a7e18e1b305e0c05eeae4f9ea081f743b375f1470c8fa3f0d62362d8310bf,2400,2400,138,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
55,gemini-3.1-pro-preview,google,canonical,2026-04-24T11:58:59.308395,800,38,0.0475,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_11-56-51_gemini-3.1-pro-preview/summary.json,2026-04-24_11-56-51_gemini-3.1-pro-preview/results.jsonl,6d0364c324a227ed9f7f4fe5fc516fe236ed0dc6ae6b04b8d16f8de42c4194df,25cc05dbddfeb70165346314a82c120482aafd8e0f8fd04ac841ad0ee6bad97c,842,0,,1,excluded_nonrecomputable,yes,"Matched raw results.jsonl is corrupted/inconsistent with the aggregate summary: 842 valid JSON rows + 1 malformed line with 5 successes, while summary/main_results report 800 rows and 38 successes. No clean replacement source was found during Round 6.",redacted_fields_only,no,no,no,"Matched raw results.jsonl is corrupted/inconsistent with the aggregate summary: 842 valid JSON rows + 1 malformed line with 5 successes, while summary/main_results report 800 rows and 38 successes. No clean replacement source was found during Round 6."
56,tiiuae/Falcon3-1B-Instruct,vllm,canonical,2026-04-20T21:33:46.566072,2400,0,0,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-32-41_tiiuae_Falcon3-1B-Instruct/summary.json,2026-04-20_21-32-41_tiiuae_Falcon3-1B-Instruct/results.jsonl,0d5b4079b27a19a8a67be56fcf54dc4768a75cf0d509a0429affd31f493b4b1b,8003251feceb2551d6cbeeae2903273c47a0dd5112ba618cd66f1c5574557f24,2400,2400,0,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
57,01-ai/Yi-1.5-34B-Chat,vllm,canonical,2026-04-20T22:19:05.613354,2400,0,0,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_22-18-32_01-ai_Yi-1.5-34B-Chat/summary.json,2026-04-20_22-18-32_01-ai_Yi-1.5-34B-Chat/results.jsonl,3c6f8f9f0ae6a0ce1b2fcc383d9f7623d0c1ef5f3c586d0fffd76f5f44a4b574,de5e9c73d010e0486f4fcc2ef76f29412b93a5806e7f56df3bd518e240705927,2400,2400,0,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
58,allenai/OLMo-2-1124-13B-Instruct,vllm,canonical,2026-04-20T21:44:08.131819,2400,0,0,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-43-37_allenai_OLMo-2-1124-13B-Instruct/summary.json,2026-04-20_21-43-37_allenai_OLMo-2-1124-13B-Instruct/results.jsonl,e0c365a85d0fb78f4b731dc781d6a0ab4e499f2263f8162cd71e5aec6d120f39,5fd52934b0f9774609caf96026ef8be09f1ee9d573260293312b2e8ef5767632,2400,2400,0,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
